index,tweet
10023,"#FridaysForFuture

#COP27 #Live Today
#ClimateAction

https://t.co/aPzf3tRIa8"
10042,"Do we really have an average of 6-7 years to curb, tackle and halt climate change?

https://t.co/iquHXi4gY9

@TomsTweeters @f4fYStrikers @GeraldKutney @JanineClimate @endelstamberg @FFF_Jour

#FridaysForFuture
#ClimateCrisis
#ClimateDenial
#EndFossilFuels
#twiff
#ClimateTalk"
10044,"today it's #climatestrike Again&amp;Again #UntilweareDone 

#fridaysforfuture
#schoolstrike4climate
#FaceTheClimateEmergency
#ClimateJustice 
#NoMoreEmptyPromises
#KeepitintheGround
#ClimateCrisis
#ClimateEmergency
#UprootTheSystem
#PeopleNotProfit"
10067,"Join the Global #ClimateStrike on September 23rd to demand that policymakers and world leaders prioritize #PeopleNotProfit!  

https://t.co/aTPJUxvbkj

Photo: Sunrise Marin (https://t.co/Ldff2pCcVs) / CC-BY-SA (https://t.co/y5e2mzGtFJ)

#ClimateAction #FridaysForFuture https://t.co/UPZI2nXJ5H"
10083,"Happy #EarthDay! Prioritize Life!

Reduce #FossilFuels dependence!

Create safer local energy! #ClimateCrisis!

twiff all Activists' Awesome work!

❤️🇺🇦🇾🇪☮️🌍🌏🌎🌳🌱🌿🌺🌼🏵️🌻🌞🦋

Now on #FridaysForFuture.org/map

@FFFMapCount #WorldCleanUP

#Twiff, 1, #EarthDay, Pakistan"
10098,"We shouldn’t be putting all of our electricity eggs in the grid basket, especially one dominated by investor-owned utilities, opponents of climate action.  We need microgrids, co-ops, and to allow local businesses to produce and sell electricity.  #ActOnClimate #FridaysForFuture"
10104,"Tomorrow is the day! All over the planet people will strike, march and protest to demand world leaders to prioritise #PeopleNotProfit

More info can be found at https://t.co/Ynp0V3jQ8q

Where will you be joining from?
#FridaysForFuture #ClimateStrike https://t.co/KXPzOV2cYj"
10107,"Marine life face mass extinction due to climate change. Rising temperatures, ocean acidification, and dwindling oxygen levels are decimating ocean life - but we can still avert mass extinctions by curbing fossil fuel and plastic use. #WetTribe #FridaysforFuture #FollowbackClimate https://t.co/YmAmX9p8gL"
10109,"#ClimateStrike Week 38
We want #ClimateActionNow but how? 
Through strikes? Are these posters enough to tackle #ClimateEmergency 🌎
Are these posters enough for #GenerationRestoration
Whom are we Awaring more the suffering people?Activist? Who?
#FridaysForFuture 
#UprootTheSystem https://t.co/D0cM3fW2gb"
10121,"notiammex: RT @DanielBlasing: #ClimateStrike Week 29

#FridaysForFuture #UprootTheSystem #ClimateEmergency
#FightFor1Point5
#StandWithUkraine
#PeopleNotProfit
#Strike4Climate
@GretaThunberg https://t.co/nUyml1UDP1"
