index,tweet,label
10001,"Burning native forest wood waste for electricity shouldn’t be classed as renewable energy, Senate report suggests #fridaysforfuture #climateaction #climate #missionshunya  https://t.co/kwYS0Ps7Wh",0
10002,"November is here!!! 
It's a new chance for you to make decisions that will contribute towards curbing climate change ..
Let's do it .. 
TAP 👇👇
https://t.co/kbStAAFi7m

#WeDontHaveTime #COP27 #confirmed #ClimateCrisis #ClimateAction #LossAndDamage #FridaysForFuture  @Patkiash https://t.co/ot10S3xFTq",0
10003,"Fight For Climate Justice At Queen's Park.  In Toronto, Ontario Canada.  23 Sept 2022.

#GlobalClimateStrike #Toronto #Jamaica #England #USA #Ontario #Canada #FridaysForFuture #ClimateJustice https://t.co/SEnhn8nlun",0
10005,"We all need to rise up and speak at a time like this. 
Climate justice now!!
@Riseupmovt 
#fridaysforfuture https://t.co/eWRDLcGgep",0
10006,"Fridays For Future Week 88🌍 

#PeopleNotProfit 
#UprootTheSystem 
#FridaysForFuture  

Listen to the science @GovChrisSununu @POTUS Take climate action.‼️‼️‼️ https://t.co/5PoAa563d7",0
10007,"Great turnout for Week171 #FridaysforFuture, Dublin. Well done, Belvo. Where are the rest of you? https://t.co/niqrsXHL18",0
10008,"There is no climate justice without climate finance. SHOW US THE MONEY!
#showusthemoney
#riseupmovement
#fridaysforfuture
@GretaThunberg @vanessa_vash @ee_reagan https://t.co/hxcJgEOj0i",0
10009,"#FridaysForFuture Dublin, WEEEEEK 200!!Congrats to all involved over nearly 4 years. https://t.co/YFeXvhNIA6",0
10010,".
Youth #climate activists get boost from Dutch tech billionaire 
via @afreedma @axios
.
https://t.co/CewcqnbVIS 

#ClimateChange #climateaction #actonclimate #climatejustice #ClimateEmergency #globalwarming #fridaysforfuture
#",0
10011,"#ClimateCrisis #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing   #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",1
10013,"#ONS2022 Look Up! Keep Oil and Gas in the Ground! A message from #FridaysforFuture groups from across the planet! Our letter to
@ONS_Stavanger: https://t.co/vbkuhhBgLG #Stavanger #Norway #FridaysForFuture
@jonasgahrstore @jcvestre @EquinorASA @bp_America @elonmusk https://t.co/JJOsBRWkwW",0
10014,"#ClimateCrisis    #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing  #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",1
