index,label
10134,1
10165,2
10209,2
10356,1
10423,1
10536,1
10601,1
10715,1
10743,1
10761,2
10766,1
10768,1
10771,1
10823,1
10850,1
10866,2
10878,1
10901,2
11052,2
11114,1
11164,3
11182,1
11218,3
11234,2
11281,1
11370,1
11479,1
11520,1
11546,1
11565,1
11573,1
11731,1
11748,1
11785,2
12002,2
12009,1
12036,1
12040,2
12068,1
12111,2
12113,3
12266,1
12291,1
12356,1
12361,1
12473,1
12522,3
12547,2
12636,2
12687,3
12691,1
12856,2
13008,1
13044,1
13147,2
13330,1
13409,1
13563,1
13603,1
13777,1
13808,1
13867,3
13908,1
13914,1
13997,1
14020,1
14038,1
14136,1
14175,1
14182,1
14243,1
14257,1
14265,1
14303,1
14308,1
14458,2
14466,1
14515,1
14532,1
14681,1
14959,1
14969,1
15024,3
15067,1
15097,2
15118,1
15374,1
15504,1
15569,1
15576,1
15611,1
15638,1
15690,1
15718,1
15738,1
16059,1
16064,1
16085,1
16094,1
16096,1
16120,1
16142,1
16143,1
16234,1
16290,1
16296,1
16404,2
16436,2
16464,1
16499,1
16553,1
16775,1
16841,1
16882,1
17385,1
17391,1
17400,1
17524,1
17527,2
17628,1
17634,1
17704,2
17849,1
17861,1
17914,1
18040,1
18129,1
18151,2
18278,1
18358,1
18637,1
18663,1
18672,1
18827,1
18867,1
19045,1
19098,1
19146,1
19349,1
19553,1
19632,1
19656,1
19659,1
19676,1
19844,1
20261,1
20318,2
20340,1
20392,1
20402,1
