index,tweet
10000,"british govt/msm sheer hypocrisy!!! ‘Out of respect you must stop striking/protesting/playing sport’ #ActNow #ExtinctionRebellion #FridaysForFuture #greenpeace #ecocide🔥 #war🇬🇧#PCSCBill 🇨🇦#EmergenciesAct Govt+SystemsChange=PlanetarySurvival+Citizens
Assemblies=OurOnlyHope"
10004,This #FridaysForFuture on Zoom we will get boozy at 8pm CET (or drink soda if that's not your thing) and send some rage or wackiness to manufacturers of food items in our pantries about their packaging materials. Link information here: https://t.co/U3gdzYOcEC #peoplenotprofit
10046,"Greenpeace: RT @mnyomb1: The #IPCC report is very much clear, that a liveable planet demands a fossil-free world.

Total and ReconAfrica must take money out of oil and gas that is funding wars and Invest in forest restoration projects. 
#FridaysForFuture… https://t.co/oF1a14OE3f"
10072,"@magdaghonem The massacre of trees in Egypt.
This is the Egyptian government's way to preserve the environment and fight the climate change.
@COP26
#ClimateCrisis
#ClimateStrike 
#Stockholm50 
#FridaysForFuture 
@UNFCCC
#stop_the_massacres_of_trees_in_Egypt https://t.co/6TEeR1GZoX"
10102,"#FridaysForFuture Week 92

The🌎is changing too fast &amp; in 10 years time it’ll probably be unrecognizable.We can do something to stop worst case scenarios &amp; demand #SystemChange/#ClimateAction or we can watch the🌍burn.Who are the bad guys?Fossil fuels,Factory farming&amp;rich people. https://t.co/5JbFKrBE2o"
10215,"#ExtinctionRebellion     #ClimateCrisis #ClimateAction  #GlobalWarming     #FridaysForFuture  #ClimateChange #Greenwashing  #Renewables     #ClimateStrike 

You've been fooled by Greta Thunberg:"
10337,"#GlobalWarming #FridaysForFuture   #ClimateChange #Greenwashing #Renewables  #ClimateStrike  #ExtinctionRebellion #ClimateCrisis  #ClimateAction        

You've been fooled by Greta Thunberg:"
10343,Vladimir Putin is a global warming accelerationist.  #CdnNatSec #FridaysForFuture
10353,"#FridaysForFuture - could there be two more different mindsets than a #Tory government that handicaps clean energy to support fossil fuel producers, and the young activoists around the world who inspire us to renew  outdated infrastructure for a better, more sustainable world?"
10508,"Sadly the UK media has demonised #InsulateBritain, as they've demonised #FridaysforFuture, the #GreenParty and #ClimateChange warnings over the years. The UK govt &amp; media are still in the pockets of the fossil fuel lobbyists. Insulating Britain should be taken seriously."
10541,"#India least bothered over #ClimateCrisis. Majority argues they are preoccupied with their own devised Hindu-Muslim issues. Irony, #policymakers hiding the fact: #climate disaster will wipe everyone out along with progeny, or the threat is ignored?
#FridaysForFuture  @byadavbjp https://t.co/2LAESz7s9Y"
10544,"#ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming  #FridaysForFuture #ClimateChange #Greenwashing  #Renewables #ClimateStrike      

You've been fooled by Greta Thunberg:"
10688,@McKinsey The people should not travel....NYC needs to develop another business model...like @McKinsey.... We got a #ClimateCrisis and with all the consultancy business a bulshit crisis as well.. #FridaysForFuture
10826,"#ClimateAction #ClimateCrisis #GlobalWarming #ClimateChange #FridaysForFuture #ClimateStrike #Renewables #Greenwashing #ExtinctionRebellion    

You've been fooled by Greta Thunberg:"
10864,"#ExtinctionRebellion #ClimateCrisis  #ClimateAction #GlobalWarming  #FridaysForFuture #ClimateChange #Renewables #Greenwashing #ClimateStrike                

You've been fooled by Greta Thunberg:"
10868,"@pesteringRBC #NoMoreDirtyBanks #RBCisKillingMe
#ClimateCrisis #ClimateEmergency #FridaysForFuture 

Global Day of Climate Action 

RBC is the #1 funder of climate crisis is Canada. 

Coastal GasLink is pushing a pipeline through unceded Wet'suwet'en territory right now. https://t.co/ac5WfoACav"
10896,"#ClimateChange #Greenwashing #Renewables    #ClimateStrike #ExtinctionRebellion  #ClimateCrisis  #ClimateAction #GlobalWarming #FridaysForFuture        

You've been fooled by Greta Thunberg:"
10937,"#ClimateCrisis  #ClimateAction   #GlobalWarming #FridaysForFuture     #ClimateChange  #Greenwashing #Renewables   #ClimateStrike   #ExtinctionRebellion         

You've been fooled by Greta Thunberg:"
11106,"#ExtinctionRebellion #ClimateCrisis #ClimateAction  #GlobalWarming   #FridaysForFuture  #ClimateChange #Greenwashing   #Renewables  #ClimateStrike 

You've been fooled by Greta Thunberg:"
11250,"#Greenwashing  #Renewables #ClimateStrike #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming  #FridaysForFuture #ClimateChange 

You've been fooled by Greta Thunberg:"
11299,"#ExtinctionRebellion #ClimateCrisis #ClimateAction  #GlobalWarming   #FridaysForFuture  #ClimateChange #Greenwashing   #Renewables  #ClimateStrike 

You've been fooled by Greta Thunberg:"
11397,"GretaThunberg: RT @Earth1stlinda2: It's #FridaysforFuture &amp; #FridaysforForests, &amp; again we remind our local Fed MP he has to #ActOnClimate 
There is no doubt we are living through the #ClimateCrisis, &amp; they, the Morrison Gov, act with NO #DutyofCare to o… https://t.co/c47vUZ32GO"
11427,"#ClimateCrisis #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing   #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:"
11532,"#ClimateChange #Greenwashing #Renewables  #ClimateStrike  #ExtinctionRebellion #ClimateCrisis  #ClimateAction #GlobalWarming #FridaysForFuture         

You've been fooled by Greta Thunberg:"
