index,tweet
10134,"#ClimateChange  #Greenwashing #Renewables #ClimateStrike #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming  #FridaysForFuture 

You've been fooled by Greta Thunberg:"
10165,"This can be the result when a workplace does not practice #austismacceptance. And @greenpeaceSE does not. Yet they keep being eye servants, marching with #FridaysForFuture and @vatmarker, praising Greta. But on a day to day basis, they are bullies who refuse to admit any fault."
10209,"#dreadlocks is trending in Germany because #fridaysforfuture doesn't want a white female artist to attend their protest because she has dreadlocks. 
That's something you'd expect from Nazis or Taliban, but not from climate activists who claim to be inclusive."
10356,"#FridaysForFuture #ClimateChange #Renewables #Greenwashing #ClimateStrike #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming 

You've been fooled by Greta Thunberg:"
10423,@Shevans9104 @paulmurphy_TD You could always go outside and do the #FridaysForFuture #SchoolProtest ? You would be warmer at least.
10536,"#FridaysForFuture #ClimateChange #Greenwashing #Renewables    #ClimateStrike #ExtinctionRebellion  #ClimateCrisis  #ClimateAction #GlobalWarming        

You've been fooled by Greta Thunberg:"
10601,"#ClimateCrisis  #ClimateAction   #GlobalWarming #FridaysForFuture     #ClimateChange  #Greenwashing #Renewables   #ClimateStrike   #ExtinctionRebellion         

You've been fooled by Greta Thunberg:"
10715,"#ClimateCrisis #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing   #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:"
10743,"SaBEEne in her natural gracility
believes she was a model of civility,
but many say that she
was just a wannaBEE:
infamous for nonsensibility.

#FridaysForFuture #wwf #AnimalRights #greenpeace https://t.co/gBdVc2KGaF"
10761,we have to wage war against fossil fuel companies because they are earning from the destruction of our planet  @GretaThunberg @vanessa_vash #climatejusticenow #ClimateAction #environmentalprotection #FridaysForFuture #ClimateEmergency #UprootTheSystem https://t.co/8YPuhUXcgm
10766,"#ClimateChange  #Greenwashing  #Renewables    #ClimateStrike  #ExtinctionRebellion   #ClimateCrisis  #ClimateAction #GlobalWarming #FridaysForFuture   

You've been fooled by Greta Thunberg:"
10768,"#Renewables   #Greenwashing   #ClimateStrike #ExtinctionRebellion #ClimateCrisis  #ClimateAction #GlobalWarming  #FridaysForFuture #ClimateChange            

You've been fooled by Greta Thunberg:"
10771,"#ExtinctionRebellion  #ClimateCrisis   #ClimateAction #GlobalWarming    #FridaysForFuture #ClimateChange #Greenwashing   #Renewables    #ClimateStrike        

You've been fooled by Greta Thunberg, Thacker Pass:"
10823,"#Greenwashing #Renewables  #ClimateStrike  #ExtinctionRebellion #ClimateCrisis  #ClimateAction #GlobalWarming #FridaysForFuture   #ClimateChange       

You've been fooled by Greta Thunberg:"
10850,"#ClimateAction  #GlobalWarming #FridaysForFuture   #ClimateChange #Renewables  #Greenwashing   #ClimateStrike #ExtinctionRebellion #ClimateCrisis           

You've been fooled by Greta Thunberg:"
10866,At #COP27 both #China and the #US talk well but are still the biggest polluters to fuel their empire ambitions #FridaysForFuture @FYEG #tradewars #Environmental
