index,tweet,label
10011,"#ClimateCrisis #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing   #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",1
10014,"#ClimateCrisis    #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing  #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",1
10021,Major climate denier Pat Michaels has died.  Don’t really know how to feel about that.  About 30 years ago I saw him take on two of our most savvy climate scientists in a hearing and he bested them.  His denier’s legacy is absolutely AWFUL.  #ActOnClimate #FridaysForFuture,1
10028,"#Greenwashing #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming #ClimateChange #FridaysForFuture #ClimateStrike #Renewables 

You've been fooled by Greta Thunberg:",1
10034,"#ExtinctionRebellion      #ClimateCrisis #ClimateAction  #GlobalWarming    #FridaysForFuture #ClimateChange #Greenwashing #Renewables    #ClimateStrike 

You've been fooled by Greta Thunberg:",1
10036,"Gas and nuclear are not green! 
The new #EUTaxonomy is not safeguarding our future. It needs to be changed. Replacing coal with gas is greenwashing. Drop the GREENWASHED TAXONOMY!! @EU_Commission #notmytaxonomy #stopfakegreen #fridaysforfuture @vonderleyen @McGuinnessEU",2
10039,"ONLY ONE DAY UNTIL THE #ClimateStrike!!! 🔥

ONE YEAR AGO #COP26 LEFT US WITH NOTHING BUT MORE BROKEN PROMISES 🌍

NOW WE MARCH AGAIN FOR CLIMATE JUSTICE ✊

JOIN US ON KELVIN WAY TOMORROW AT 11AM 💚

ITS TIME TO #UprootTheSystem

#FridaysForFuture #TheKidsAreNotAlright https://t.co/6UjY9djsCv",2
10040,"It is time for all U.K. citizens to call out the hypocrisy of their Conservative government. Clearly, their stated climate goals are nothing more than the worst kind of greenwashing. Time to protest in massive numbers at #FridaysForFuture marches and demonstrations.",2
10068,"Week 106. Pakistan is one of the countries least responsible for the climate crisis, yet it’s suffering the most. The EU must end fossil fuels and pay reparations to the most affected people and areas. #ClimateReparationsForPakistan #ClimateSolidarity #FridaysForFuture https://t.co/Ug5sxgdUAz",2
10085,"So now the Palm Oil Industry is trying to rebrand deforestation as ""reforestation""..

I can't describe how angry this makes me!

When will humanity learn that advertising doesn't fix the crisis we are in!?!

#ExtinctionRebellion #TalkingClimate @Lets_Discuss_CC #FridaysForFuture",2
