index,label
10023,3
10042,1
10044,3
10067,1
10083,1
10098,1
10104,1
10107,1
10109,3
10121,3
10134,2
10138,3
10143,3
10144,1
10150,3
10165,3
10167,3
10171,3
10172,1
10173,1
10179,1
10205,1
10207,3
10209,2
10240,1
10251,1
10253,2
10255,1
10265,1
10268,1
10269,1
10278,1
10291,1
10296,1
10309,1
10311,1
10312,1
10325,3
10331,1
10341,1
10348,1
10354,1
10356,2
10382,3
10392,3
10396,1
10402,1
10404,3
10414,1
10417,3
10419,3
10423,2
10425,1
10428,1
10443,1
10448,1
10467,1
10469,3
10489,1
10503,1
10505,1
10510,1
10518,1
10531,3
10536,2
10540,1
10551,1
10553,1
10558,1
10560,3
10567,1
10571,1
10572,1
10584,3
10586,1
10588,3
10600,1
10601,2
10603,1
10616,1
10627,1
10628,1
10637,3
10645,3
10647,3
10651,1
10652,1
10653,2
10654,3
10655,3
10661,1
10664,1
10678,1
10687,1
10699,1
10702,1
10703,3
10706,1
10707,1
10715,2
10716,3
10718,1
10723,1
10725,3
10730,3
10743,3
10744,1
10750,1
10761,1
10764,1
10766,2
10768,2
10770,1
10771,2
10775,3
10776,1
10789,1
10797,1
10801,1
10803,1
10812,1
10817,3
10819,1
10823,2
10837,2
10850,2
10851,3
10852,1
10854,3
10861,1
10866,3
10878,2
10885,1
10894,1
10901,3
10924,1
10941,3
10943,3
10945,1
10949,3
10959,1
10963,3
10996,3
11000,3
11004,1
11016,3
11018,3
11026,3
11028,1
11030,3
11039,3
11046,1
11049,3
11052,1
11066,1
11068,3
11072,1
11098,1
11099,1
11110,1
11114,2
11123,3
11133,1
11134,3
11136,1
11147,1
11164,2
11165,3
11166,3
11172,2
11173,1
11180,1
11182,2
11183,1
11199,3
11203,1
11208,1
11215,1
11218,2
11220,2
11222,1
11226,1
11228,1
11234,1
11243,1
11245,3
11259,1
11262,2
11263,1
11264,1
11266,1
11277,1
11278,3
11281,2
11287,1
11288,3
11296,1
11309,1
11310,1
11313,1
11332,1
11335,2
11340,3
11345,3
11356,3
11370,2
11387,1
11395,1
11399,1
11402,3
11404,1
11405,1
11407,1
11414,1
11421,3
11425,1
11429,1
11432,1
11436,3
11440,1
11442,3
11457,1
11461,1
11475,1
11478,1
11479,2
11489,3
11492,3
11502,1
11520,2
11521,1
11530,3
11531,1
11535,3
11541,3
11546,2
11548,1
11551,1
11552,3
11563,1
11565,2
11572,1
11573,1
11583,1
11584,1
11594,3
11595,1
11604,3
11615,1
11616,1
11626,3
11650,1
11651,1
11660,3
11663,3
11675,3
11676,3
11681,3
11704,1
11708,1
11710,3
11714,1
11728,1
11729,3
11731,2
11739,1
11740,3
11741,3
11748,3
11769,1
11770,3
11772,1
11779,1
11785,3
11790,1
11795,1
11811,3
11819,1
11834,1
11842,3
11852,1
11878,1
11900,1
11901,1
11919,1
11921,1
11924,1
11925,3
11934,3
11936,1
11938,1
11964,1
11973,1
11974,1
11976,1
11980,1
11984,3
12002,2
12009,2
12022,1
12035,1
12036,2
12040,3
12068,2
12071,3
12072,1
12097,1
12101,1
12111,1
12112,1
12113,1
12116,1
12117,1
12136,1
12138,1
12144,1
12145,1
12167,1
12173,1
12175,1
12181,1
12194,1
12196,1
12202,1
12205,1
12209,1
12213,1
12214,1
12233,1
12241,1
12255,1
12260,3
12266,2
12267,1
12270,1
12273,1
12274,3
12275,1
12278,3
12284,1
12291,2
12297,1
12299,3
12310,1
12323,1
12330,3
12332,1
12335,1
12345,3
12356,2
12359,1
12361,2
12375,3
12379,1
12383,1
12384,1
12388,3
12390,1
12393,1
12398,2
12408,3
12413,1
12416,3
12435,1
12458,3
12463,3
12473,2
12475,1
12483,3
12487,3
12488,1
12519,1
12522,1
12544,1
12547,1
12570,1
12574,1
12586,1
12588,1
12590,1
12595,1
12598,3
12604,1
12610,1
12634,1
12636,1
12643,1
12658,1
12662,1
12678,1
12681,1
12682,1
12687,1
12691,1
12693,1
12694,3
12696,1
12699,1
12700,1
12701,1
12704,1
12712,1
12720,1
12721,1
12725,1
12730,1
12735,1
12743,1
12744,3
12756,1
12757,1
12768,3
12769,3
12787,1
12788,1
12791,2
12806,3
12810,3
12818,3
12822,3
12833,1
12835,1
12837,3
12839,1
12851,1
12855,1
12856,1
12866,1
12873,1
12875,1
12879,1
12889,3
12892,1
12894,1
12900,1
12902,1
12908,1
12924,1
12927,3
12937,1
12949,3
12958,3
12970,1
12981,1
12987,3
12990,1
13002,3
13007,3
13008,1
13012,3
13020,3
13025,3
13026,1
13044,2
13049,1
13050,1
13055,1
13058,3
13065,3
13074,1
13079,1
13083,1
13086,3
13097,1
13104,1
13109,3
13134,3
13147,3
13166,1
13176,3
13180,3
13185,1
13188,1
13191,3
13196,1
13198,3
13208,1
13218,3
13222,1
13224,3
13240,1
13254,3
13259,1
13264,3
13279,3
13288,3
13292,3
13295,1
13301,1
13302,3
13308,1
13317,3
13320,1
13326,3
13330,2
13331,3
13338,3
13345,3
13348,3
13352,3
13354,3
13364,3
13377,3
13378,3
13379,3
13386,3
13388,3
13393,3
13396,1
13400,1
13409,2
13421,3
13423,3
13424,3
13434,3
13441,3
13445,3
13456,3
13467,3
13471,3
13477,1
13510,1
13516,3
13529,3
13536,1
13547,3
13549,3
13554,3
13563,3
13568,3
13569,3
13571,3
13575,3
13587,1
13595,1
13603,2
13606,3
13618,1
13619,1
13620,3
13622,1
13629,1
13634,1
13642,3
13644,3
13655,3
13661,1
13665,1
13667,3
13669,3
13673,3
13679,3
13686,3
13695,1
13699,3
13702,1
13720,3
13727,1
13728,3
13731,3
13737,3
13754,3
13760,3
13761,3
13762,3
13765,3
13766,3
13777,2
13795,1
13804,3
13808,2
13813,3
13814,1
13819,3
13821,1
13839,1
13845,3
13851,1
13861,1
13863,3
13867,2
13877,1
13884,3
13893,3
13907,3
13908,2
13911,3
13914,2
13918,1
13921,3
13922,3
13931,3
13940,3
13946,3
13953,1
13959,1
13971,3
13972,1
13987,1
13997,3
14003,3
14020,2
14021,3
14022,3
14035,1
14038,2
14045,1
14056,3
14071,1
14073,1
14075,1
14082,3
14084,1
14087,1
14098,3
14099,1
14100,3
14102,1
14104,1
14107,1
14109,3
14129,1
14136,2
14142,1
14160,3
14175,2
14182,2
14191,3
14205,3
14211,1
14213,3
14221,3
14224,3
14226,1
14239,3
14242,3
14243,2
14245,1
14252,1
14256,1
14257,2
14258,3
14265,2
14267,3
14272,1
14284,1
14291,1
14294,1
14303,2
14308,2
14320,1
14322,1
14328,1
14347,1
14365,1
14378,1
14382,1
14385,1
14401,1
14415,1
14416,1
14421,2
14429,3
14431,1
14445,3
14450,1
14452,1
14455,1
14458,1
14466,2
14473,1
14487,1
14491,1
14500,1
14507,1
14515,2
14517,1
14518,1
14520,1
14521,1
14522,1
14524,2
14526,2
14530,1
14531,1
14532,1
14539,3
14543,1
14553,1
14555,1
14569,1
14575,1
14586,1
14597,2
14600,1
14603,1
14621,1
14630,1
14635,1
14673,3
14677,1
14681,1
14686,1
14695,1
14703,1
14710,1
14722,1
14737,1
14740,1
14747,1
14749,1
14754,1
14766,1
14769,1
14780,1
14785,1
14794,1
14802,1
14806,1
14812,1
14826,1
14844,1
14850,1
14857,1
14862,1
14868,1
14872,1
14877,1
14880,1
14882,1
14901,1
14906,1
14914,1
14916,1
14919,1
14921,1
14933,1
14936,2
14939,1
14940,1
14948,1
14951,1
14952,1
14954,1
14959,2
14960,1
14962,1
14968,1
14969,2
14972,1
14976,1
14980,1
14981,1
15008,3
15013,1
15015,3
15024,2
15027,1
15029,1
15030,3
15044,3
15046,1
15049,3
15053,3
15057,2
15064,1
15067,2
15075,3
15077,1
15086,1
15089,2
15090,1
15097,1
15098,1
15111,1
15113,1
15118,2
15121,3
15133,1
15135,1
15137,3
15138,1
15141,3
15142,3
15144,3
15147,3
15155,3
15156,2
15159,2
15166,3
15174,1
15178,3
15182,3
15191,1
15197,3
15207,3
15215,1
15219,3
15226,3
15235,3
15243,3
15246,3
15253,2
15255,2
15265,3
15279,3
15283,3
15299,1
15306,1
15314,1
15320,3
15321,1
15322,1
15324,3
15332,3
15333,3
15352,3
15354,1
15356,3
15360,1
15363,1
15364,1
15368,3
15369,3
15371,3
15374,2
15375,1
