index,tweet
10000,"british govt/msm sheer hypocrisy!!! ‘Out of respect you must stop striking/protesting/playing sport’ #ActNow #ExtinctionRebellion #FridaysForFuture #greenpeace #ecocide🔥 #war🇬🇧#PCSCBill 🇨🇦#EmergenciesAct Govt+SystemsChange=PlanetarySurvival+Citizens
Assemblies=OurOnlyHope"
10004,This #FridaysForFuture on Zoom we will get boozy at 8pm CET (or drink soda if that's not your thing) and send some rage or wackiness to manufacturers of food items in our pantries about their packaging materials. Link information here: https://t.co/U3gdzYOcEC #peoplenotprofit
10012,The #ecoteam at SMAB have been busy today! They added soil and water to our compost bin to help speed up the composting process 🌍 #FridaysForFuture https://t.co/N6jzfwvzsy
10015,"The fight against climate justice is for both the future and present. For the future so they dont get to where we are or are headed to and for the present a healthy environs &amp; lifestyle.This is why climate education in schools is important 
#FFFmapa  #Fridaysforfuture @Riseupmovt https://t.co/gO29D0LsiM"
10031,"The world needs more environmentalists 
#biodiversity #ClimateAction #environment #trees #ClimateCrisis #bicycle #birds #Butterflies #bees #FridaysForFuture"
10033,The slogan #PeopleNotProfit could not be more fitting. Let's be loud #FridaysForFuture https://t.co/V3racldJrS
10046,"Greenpeace: RT @mnyomb1: The #IPCC report is very much clear, that a liveable planet demands a fossil-free world.

Total and ReconAfrica must take money out of oil and gas that is funding wars and Invest in forest restoration projects. 
#FridaysForFuture… https://t.co/oF1a14OE3f"
10053,"📣3 days left until the Global Climate Strike! 

We are mobilizing across the world to demand those in power prioritize #PeopleNotProfit❗️

It's time to get your banners ready, here is a quick guide on how to make one! #FridaysForFuture 
#ClimateAction 
#climatechange 
#netzero https://t.co/TdqbjPl0dq"
10072,"@magdaghonem The massacre of trees in Egypt.
This is the Egyptian government's way to preserve the environment and fight the climate change.
@COP26
#ClimateCrisis
#ClimateStrike 
#Stockholm50 
#FridaysForFuture 
@UNFCCC
#stop_the_massacres_of_trees_in_Egypt https://t.co/6TEeR1GZoX"
10076,"So glad our folks were able to come out and support @MasonManleyEJ’s #FridaysForFuture event 🌎🎬 and hear from #BloodAndEarth author @kevin_bales 

📖Looks like an important read — https://t.co/5WFxerR7z6"
10087,"Free them all!

#ClimateStrikeOnline week 129

#FreeThemAll #FreeAlaa #FreeOcalan #FreeMariamTirab

#DigitalStrike #FridaysForFuture #ClimateStrike #klimatstrejk #klimat #climate #ClimateCrisis #klimatkris #UprootTheSystem https://t.co/eFh8hCJvS6"
10095,@FFF_NYC_ protesting for more ambitious climate policy and climate Justice #FridaysForFuture #ClimateWeekNYC #UNGA https://t.co/cbDpY6msbs
10102,"#FridaysForFuture Week 92

The🌎is changing too fast &amp; in 10 years time it’ll probably be unrecognizable.We can do something to stop worst case scenarios &amp; demand #SystemChange/#ClimateAction or we can watch the🌍burn.Who are the bad guys?Fossil fuels,Factory farming&amp;rich people. https://t.co/5JbFKrBE2o"
10105,"Love the artwork despite doubting its factual accuracy

Shouldn’t London be underwater due to #ClimateCrisis? Would Boris hold back the rising oceans? 🤔

I believe the UK must #RejoinEU and ACT NOW from a stronger position

@GretaThunberg #FridaysForFuture 🌍 needs your help 🙏🏼"
10108,"""Natural Grocers is partnering with Beyond Pesticides to spread the word about protecting the insects that are vital to the stability of the food supply and the necessary transition to nontoxic pesticide use."" 
#FridaysForFuture #Sustainability #Grocery

https://t.co/nU75yLDzQ3"
10113,"100% @TKobusiingye. We owe it to future generations to take #ClimateChange seriously. There truly is no time left for blah blah blah.

#FridaysForFuture
https://t.co/HpRd50ZHoQ"
10117,"#FridaysForFuture cars, vans, trucks and buses produce more than 70% of #greenhousegas #emissions from #transport, according to @EUEnvironment. 

Could smart traffic lights be the answer?
👉 https://t.co/rs1vhBp2ax

#trafficlightday https://t.co/cYiFv2RKrc"
10129,"School strike week 225. #FridaysForFuture #ClimateStrike #PeopleNotProfit
Blog - https://t.co/GHh9yr8MDB #HarryandMeghanNetflix #RT https://t.co/16Tb91Vm3X"
10131,Boise Climate Strike!  #FridaysForFuture https://t.co/bLOLop9uH7
10135,"@twiff_bot @JanineClimate @Yusuf_ElWazzan @TomsTweeters @rhosking252 @endelstamberg @IsStratkotter @auber_fichess @fischerdata @mnyomb1 @F4FYStrikers @fffUttarPradesh #SchoolStrike even during the school holiday.
It's sad that it's necessary😔
#twiff, 8, #FridaysForFuture, Ireland, Dublin
https://t.co/jqmtDtYWqx"
10137,It's Friday and my support goes to #FridaysForFuture #ClimateStrikeOnline #ClimateStrike
10147,Great job @annajanejoyner!  The entertainment industry needs to do a much better job integrating climate change into the stories they tell.  #ActOnClimate #FridaysForFuture https://t.co/mjqzTn6keQ
10153,"If it's not bio-degradable, it will bio-accumulate. 🌎 ♻️ 😋

#BreakFreeFromPlastic #FridaysForFuture"
10160,"Climate strike in Bergen, Norway. #FridaysForFuture #ClimateJustice #GreenFriday @fff_bergen https://t.co/zp4Jp6PmbP"
10166,"Do we believe in politicians more than we believe in ourselves? 🤦‍♀️

Are we easily herded by politicians into their #ClimateEmergency? 😬

Who has a reasonable plan?
#DontLookUp

Week 180

#ClimateEmergency 
#twiff, 1, #FridaysForFuture #Sweden,,Svedmyra, 2022-01-28 https://t.co/YiWmNBPwNj"
