index,tweet,label
10001,"Burning native forest wood waste for electricity shouldn’t be classed as renewable energy, Senate report suggests #fridaysforfuture #climateaction #climate #missionshunya  https://t.co/kwYS0Ps7Wh",1
10002,"November is here!!! 
It's a new chance for you to make decisions that will contribute towards curbing climate change ..
Let's do it .. 
TAP 👇👇
https://t.co/kbStAAFi7m

#WeDontHaveTime #COP27 #confirmed #ClimateCrisis #ClimateAction #LossAndDamage #FridaysForFuture  @Patkiash https://t.co/ot10S3xFTq",1
10003,"Fight For Climate Justice At Queen's Park.  In Toronto, Ontario Canada.  23 Sept 2022.

#GlobalClimateStrike #Toronto #Jamaica #England #USA #Ontario #Canada #FridaysForFuture #ClimateJustice https://t.co/SEnhn8nlun",1
10005,"We all need to rise up and speak at a time like this. 
Climate justice now!!
@Riseupmovt 
#fridaysforfuture https://t.co/eWRDLcGgep",1
10006,"Fridays For Future Week 88🌍 

#PeopleNotProfit 
#UprootTheSystem 
#FridaysForFuture  

Listen to the science @GovChrisSununu @POTUS Take climate action.‼️‼️‼️ https://t.co/5PoAa563d7",3
10007,"Great turnout for Week171 #FridaysforFuture, Dublin. Well done, Belvo. Where are the rest of you? https://t.co/niqrsXHL18",1
10008,"There is no climate justice without climate finance. SHOW US THE MONEY!
#showusthemoney
#riseupmovement
#fridaysforfuture
@GretaThunberg @vanessa_vash @ee_reagan https://t.co/hxcJgEOj0i",1
10009,"#FridaysForFuture Dublin, WEEEEEK 200!!Congrats to all involved over nearly 4 years. https://t.co/YFeXvhNIA6",1
10010,".
Youth #climate activists get boost from Dutch tech billionaire 
via @afreedma @axios
.
https://t.co/CewcqnbVIS 

#ClimateChange #climateaction #actonclimate #climatejustice #ClimateEmergency #globalwarming #fridaysforfuture
#",3
10011,"#ClimateCrisis #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing   #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",2
10013,"#ONS2022 Look Up! Keep Oil and Gas in the Ground! A message from #FridaysforFuture groups from across the planet! Our letter to
@ONS_Stavanger: https://t.co/vbkuhhBgLG #Stavanger #Norway #FridaysForFuture
@jonasgahrstore @jcvestre @EquinorASA @bp_America @elonmusk https://t.co/JJOsBRWkwW",1
10014,"#ClimateCrisis    #ClimateAction #GlobalWarming   #FridaysForFuture   #ClimateChange  #Renewables #Greenwashing  #ExtinctionRebellion   #ClimateStrike            

You've been fooled by Greta Thunberg:",2
10016,Every day should be Earth Day! Nothing more to add here #earthday2022 #earthday #climatecrisis #greenwashing #fridaysforfuture #extinctionrebellion #biodiversitycrisis #biodiversityloss #biodiversity #nature #environmentaljustice #ecologicaljustice #socialjustice #transformation https://t.co/1kil83KQiR,1
10017,"You can barely Hear the Bulldozers on FAR End of Timber Sale making the other Logging Road to MEET UP with this Logging Road, End of the Road. 
9/02/2022--&gt;
#climateactionnow #oldgrowthlogging #deforestation🙏🏻😞 #deforestationawareness #fridaysforfuture
https://t.co/1VXUuK3SwO",3
10018,"@MazirweSarah @EUinUG @EUClimateAction @EU_ENV @CCD_UG @min_waterUg @NatureUganda @Kampala4Climate @ubf_info @nemaug @braxil6 @RonohClinton @Balaam_256 @AKasingye @sammiemanini1 @omwambaKE @EstherBirungi4 @ViolaHappiness @christokiiza @JNKamoga @moseskoshland @Kamuganga @AaronKaviiri I surely agree with you @MazirweSarah. We must re-use but most importantly reduce on plastic usage in our communities.
By beating #plasticpollution, we shall be promoting #ClimateAction since we will be saving life on land &amp; under water.
#FridaysForFuture activists agree on this.",1
10019,"•Week 19•

The Time Is Ticking,And We Have No Chance For Saying, ""We'll Do This/That Tomorrow,For The Environment,ACT NOW!"" 

#ActNow 
#FridaysForFuture 
#ClimateActionNow 

@Fridays4future 
@FFFMAPA 
@Riseupmovt 
@UNEP 
@spicewarriors_ https://t.co/IWs0cIYTpn",1
10020,"I give a 💩 about my nieces and the world they were born into, and that's what drives me on the days I don't give one.

#FridaysForFuture https://t.co/E6vIsyAxFU",1
10021,Major climate denier Pat Michaels has died.  Don’t really know how to feel about that.  About 30 years ago I saw him take on two of our most savvy climate scientists in a hearing and he bested them.  His denier’s legacy is absolutely AWFUL.  #ActOnClimate #FridaysForFuture,1
10022,"Prioritize Life not death! #PeopleBeforeProfit

Safer local energy! #ClimateCrisis!

Stop #FossilFuels!

twiff Activists' Awesome work!

https://t.co/enBwrzhUBh

❤️🇺🇦🇾🇪☮️🌍🌏🌎🌳🌱🌿🌺🌼🏵️🌻🌞🦋

#FridaysForFuture.org/map

#EarthDay

#Twiff, 1, #ClimateCrisis, USA, Los Angeles",1
10024,My week 18th #ClimateStrike in Japan🇯🇵 #FridaysForFuture https://t.co/8ooOD2ftbt,3
10025,"While Gen X is in the driver seat, Millennials are best to support the Norwegian approach to #ClimateChange during the 2020s.
#ClimateCrisis #auspol #LNPfail #ActOnClimateVic #FridaysForFuture #Faiths4Climate
https://t.co/GuFwbWdZnM",1
10026,"U wil nevr see thm in streets striking b'se nobdy told thm the source of their sufferings #climatechange
U wil nevr hear thm speak b'se they knw no English, German, French 2 express their sufferings
I, we demand 4 #ClimateJustice on behalf of suffering #African 
#FridaysForFuture https://t.co/ayeV8h1aXi",1
10027,"#DigitalStrike week 128
We are about to MISS the 1.5C target and still increasing #FossilFuel production instead of #RenewableEnergy. 
#ClimateActionNOW!
#ClimateStrikeOnline
#FridaysForFuture
#BoomersForClimateJustice
@ClimateCrisis @POTUS @VP @ClimateEnvoy https://t.co/olGozVxJ9Q",3
10028,"#Greenwashing #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming #ClimateChange #FridaysForFuture #ClimateStrike #Renewables 

You've been fooled by Greta Thunberg:",2
10029,"There is need for climate change #education in schools and more nationwide communication campaigns addressing the #ClimateChange effects.
#ClimateAction 
#ClimateCrisis 
#FridaysForFuture https://t.co/AKrTIEitz4",1
10030,"thousands of people on the streets again today! 
@GretaThunberg, you're an in inspiration!

#GlobalClimateStrike #FridaysForFuture 
#Scientists4Future

(thanks #RaveForPeace for a good vibes in Leipzig) https://t.co/MOtttN1kEg",1
10032,"Stop driving, stop flying #bethechange #leaveoilintheground #stopecocide #fridaysforfuture",1
10034,"#ExtinctionRebellion      #ClimateCrisis #ClimateAction  #GlobalWarming    #FridaysForFuture #ClimateChange #Greenwashing #Renewables    #ClimateStrike 

You've been fooled by Greta Thunberg:",2
10035,"Do you want to show many people demand #ClimateJustice? 
Put your strike on the map! The #FridaysForFuture map WG will reinforce the climate movements to spread its message to scientists, journalists, politicians and other FFF activists. https://t.co/HcOD0vGJPN https://t.co/SkWJALjCvS",1
10036,"Gas and nuclear are not green! 
The new #EUTaxonomy is not safeguarding our future. It needs to be changed. Replacing coal with gas is greenwashing. Drop the GREENWASHED TAXONOMY!! @EU_Commission #notmytaxonomy #stopfakegreen #fridaysforfuture @vonderleyen @McGuinnessEU",1
10037,"One more reason why we urgently need transformative economic and tax reforms that make climate-positive choices cheaper than climate-negative alternatives. 
Demand change every #FridaysForFuture at 11 at your legislature or city hall.",1
10038,"#ONS2022 Look Up! Keep Oil and Gas in the Ground! A message from #FridaysforFuture groups from across the planet! Our letter to
@ONS_Stavanger: https://t.co/bTvgvDl9GN #Stavanger #Norway #FridaysForFuture
@jonasgahrstore @jcvestre @EquinorASA @bp_America @elonmusk https://t.co/ZB6Tm43KWa",1
10039,"ONLY ONE DAY UNTIL THE #ClimateStrike!!! 🔥

ONE YEAR AGO #COP26 LEFT US WITH NOTHING BUT MORE BROKEN PROMISES 🌍

NOW WE MARCH AGAIN FOR CLIMATE JUSTICE ✊

JOIN US ON KELVIN WAY TOMORROW AT 11AM 💚

ITS TIME TO #UprootTheSystem

#FridaysForFuture #TheKidsAreNotAlright https://t.co/6UjY9djsCv",1
10040,"It is time for all U.K. citizens to call out the hypocrisy of their Conservative government. Clearly, their stated climate goals are nothing more than the worst kind of greenwashing. Time to protest in massive numbers at #FridaysForFuture marches and demonstrations.",1
10041,".
#climatechange myth buster #video via @youtube 

 https://t.co/xLs8JfqTjY

Please share/ retweet

#energy #climateaction #climate #renewables  #actonclimate #ClimateEmergency #globalwarming #fridaysforfuture

@theToddHirsch @Astartiel @Lalaej @snband4",3
10043,"Let us celebrate the PLANET and take care of EARTH 🌏 

#Climatechange #ClimateStrike #ClimateAction #ClimateCrisis #savetheearth #savetheplanet
#FridaysForFuture #Bangladesh https://t.co/xrwYnQuDJw",1
10045,This climate emergency is too real to not freak out #UprootTheSystem #FridaysForFuture #ClimateCrisis #Greta #Risetothechallenge #RiseUp,1
10047,Act to protest the #ClimateCrisis tomorrow. #FridaysForFuture,1
